       Địa chỉ  Quận  Huyện  Loại hình nhà ở  Giấy tờ pháp lý  Số tầng  Số phòng ngủ  Diện tích          Dài     Rộng           Giá
80721     4172    11     91                1                0      6.0           4.0       36.0       5.0000     7.00  1.833300e+11
80734     4173     0     73                0                0      5.0           3.0       40.0       6.0000     6.00  7.500000e+10
80743     4174     1     65                1                0      5.0           2.0       40.0     938.0000   419.00  1.012500e+11
80746     4175     8     54                0                0      5.0           4.0       75.0      11.0000     7.00  6.933000e+10
80748      493     0    133                0                0      5.0          10.0       75.0      10.0000     7.00  7.333000e+10
80754      481     7    118                2                0      3.0           4.0      200.0      20.0000    10.00  1.000000e+11
80757      492     8     54                0                0      5.0           3.0       43.0       7.0000     5.00  9.767000e+10
80769     2412     8    151                1                0      4.0           6.0       63.0      13.4000     4.70  3.650800e+11
80776       59     6     46                1                0      5.0           5.0       42.0      11.0000     4.00  1.023800e+11
80777     1781     0     11                0                0      5.0           4.0       48.0      10.0000     5.00  1.666700e+11
80778      172    10     85                0                0      5.0           5.0       32.0       8.0000     3.00  1.343800e+11
80783       70    11     30                0                0      6.0           6.0       25.0       7.0000     4.00  1.192000e+11
80785      295     9    113                1                0      7.0           4.0      110.0      15.0000     7.00  1.182000e+10
80789     4176     4     97                0                0      4.0           3.0       56.0      14.0000     4.00  8.304000e+10
